,FID,id,Residential_300m,Commercial_300m,Av_traffic_300m,Roads_300m
419,41444,26818,17486.22332,0,1310.731788,1137.827779
420,46835,26824,120376.0499,0,17.72871419,1566.808869
421,50180,26854,0,0,0,0
422,50329,26913,31777.5566,0,1915.26341,3280.917905
423,40741,26967,175679.9136,15251.82588,379.1593106,3545.924844
424,50001,27012,119078.678,13231.45015,545.1947245,4151.252435
425,45747,27054,200908.3259,0,484.1954247,3355.263365
426,45808,27106,25044.41535,0,1864.845488,2662.602204
427,36763,27127,0,0,1022.349104,1074.000873
428,34028,27180,0,0,0,0
429,38884,27209,191739.7955,0,0,1926.846706
430,34042,27218,116386.3021,0,852.1220808,4233.629124
431,22525,27232,64346.93109,67796.73823,3097.469383,4441.276413
432,45478,27241,273482.3804,0,137.5073196,3818.608981
433,49420,27283,239397.7537,40494.73246,82.61346374,4422.368259
434,46445,27382,0,0,0,505.4328311
435,51226,27384,39102.65392,0,7850.539762,3931.927234
436,45876,27396,194416.0716,0,6951.999136,5507.370825
437,46249,27397,0,0,0,0
438,29689,27411,0,0,0,638.5683762
439,32836,27434,282618.3637,0,147.7141464,4062.968878
440,47623,27474,282207.9969,0,624.7227343,3985.066642
441,37610,27476,0,0,27.0033248,381.4195485
442,27532,27483,0,0,26.33588783,983.183908
443,32797,27496,0,0,72.42957916,1447.389615
444,28827,27500,162779.2588,0,226.8478157,3719.712201
445,46749,27520,128735.7535,0,10456.42027,6583.633266
446,42981,27532,238977.214,189.3607195,125.7712382,2945.862835
447,32697,27556,281834.4418,0,620.5523988,3926.386163
448,36578,27588,0,0,0,0
449,46097,27593,49873.80537,0,5400.79873,4237.485795
450,2916,27606,6959.413253,0,122.2408391,495.8854483
451,50745,27621,274596.5064,0,372.6681113,3897.473516
452,37368,27648,0,0,0,0
453,29700,27658,282317.0011,0,359.6627487,3987.541017
454,13978,27682,0,0,0,1200.448209
455,50325,27713,265206.31,0,6.866641343,2642.426998
456,50313,27726,101999.2702,0,7370.010032,5244.13584
457,49702,27740,0,0,0,656.9371885
458,50589,27762,0,0,0,1271.417267
459,51197,27799,282618.3637,0,171.4273786,3292.448522
460,46303,27803,162849.3218,0,429.8095553,2731.950786
461,48222,27848,36652.35038,0,1632.877818,2641.885394
462,44107,27872,107929.1665,0,4921.951262,3279.902247
463,46244,27879,273411.8819,0,0,2278.660175
464,41996,27967,135648.3123,0,214.541282,2597.251772
465,32044,27987,1259.63783,0,5769.143001,3875.029385
466,39554,27995,0,0,0,0
467,50207,28028,63989.36974,0,562.7073777,1706.861049
468,42778,28036,258608.1875,0,510.0472534,4202.884085
469,48665,28048,231196.1332,0,73.04578882,3742.012863
470,51537,28081,188614.9043,0,0,375.2147839
471,37117,28085,165068.9803,1316.127642,1320.639813,2396.388124
472,48673,28109,218883.4573,0,692.9794563,4099.342386
473,24382,28144,0,0,0,1824.205969
474,48779,28148,26676.81193,0,7575.191364,4528.666737
475,46847,28153,0,0,5332.676155,2665.614085
476,27682,28183,997.195885,0,2800.651747,1751.960696
477,30309,28188,0,0,0,276.3067281
478,20256,28197,282618.3637,0,362.1478588,3999.117145
479,51458,28210,0,0,0,0
480,50715,28228,24010.03465,0,0,0
481,36560,28260,259964.3753,0,621.8598549,3122.011723
482,46653,28314,0,0,440.1626769,220.189997
483,34843,28351,0,0,153.7377132,324.3193831
484,47138,28369,244905.839,0,25.72175375,4504.064016
485,33834,28388,107598.9665,0,2.208745013,585.8890296
486,42035,28426,91429.50669,0,328.9616111,1661.316706
487,40312,28436,78543.69931,0,0,1168.682174
488,43935,28544,35953.52532,0,1676.99575,2543.282598
489,39287,28607,0,0,0,0
490,37030,28627,117530.0232,0,854.7205569,4004.973061
491,34373,28646,96913.28863,0,7521.67405,5277.396718
492,47944,28647,112592.4968,0,9125.799414,5135.973397
493,36711,28655,0,0,5021.700452,2283.523086
494,47293,28659,281976.4381,0,538.0129526,4052.124092
495,36861,28703,241454.1736,0,1249.723656,3644.463717
496,40113,28709,4559.923736,13680.96852,2407.634068,2010.503701
497,40300,28744,208621.0614,0,600.2637635,4361.238239
498,49559,28827,243364.8827,0,198.8173077,2896.668575
499,38603,28836,263690.896,0,1225.676831,4278.460841
500,36582,28839,119337.6218,0,407.4023091,1788.458891
501,46365,28854,236376.6728,0,131.0655357,3594.432442
502,39601,28873,0,0,0,0
503,51386,28879,111582.304,0,373.4938446,1047.20476
504,42702,28882,225819.0691,0,0,4130.525976
505,46654,28888,0,0,0,714.734118
506,32181,28920,0,0,0,0
507,42023,28930,265543.3198,0,0,2331.566496
508,36610,28933,173060.4817,0,419.5625187,3870.606589
509,46011,28939,250087.6491,0,129.3449718,3112.210374
510,47173,28959,220239.4693,0,84.7210764,3223.906792
511,28839,28979,0,0,0,284.655884
512,45064,28996,247765.1969,0,965.9266575,3809.484912
513,49739,29004,229106.3124,0,909.3501037,3534.169033
514,23442,29020,2999.637841,0,0,298.7976905
515,46676,29024,206125.068,0,94.20429749,2478.893021
516,44258,29035,70091.32942,0,357.0121264,1531.364123
517,24741,29045,236511.6377,0,0,524.7832993
518,49434,29113,0,0,0,0
519,39147,29124,3860.307982,0,5829.971884,3532.366559
520,7297,29137,195992.0589,0,107.7922146,3383.325967
521,40012,29138,102130.6796,0,0,762.6290507
522,34512,29165,203682.5436,26497.76798,1874.698685,4727.935073
523,39889,29167,113174.5515,0,976.0250937,3490.248082
524,42047,29191,0,0,0,1445.561216
525,50445,29221,106015.3208,0,978.2013493,3732.124531
526,43353,29230,137231.4316,0,1021.637585,3509.365895
527,13963,29241,282618.3637,0,172.3144588,3358.381059
528,45776,29273,233810.0286,0,824.9877408,3798.997733
529,29421,29279,0,0,0,0
530,48070,29302,282618.3637,0,420.4494765,3987.615364
531,34395,29312,260234.3612,0,426.6914202,3935.425408
532,50549,29313,0,0,69.43974486,1541.568542
533,26100,29322,132815.3925,0,404.8175754,4713.646054
534,50468,29331,4302.455235,0,138.7345611,470.411571
